DateTime,Predicted_MW,Demand_Level
2026-03-25 01:00:00,14376.871226131916,Medium
2026-03-25 02:00:00,14031.479762017727,Medium
2026-03-25 03:00:00,13813.340868294239,Medium
2026-03-25 04:00:00,13750.64767897129,Medium
2026-03-25 05:00:00,14044.36973953247,Medium
2026-03-25 06:00:00,14854.106783866882,Medium
2026-03-25 07:00:00,16054.998770475388,High
2026-03-25 08:00:00,16842.470696985725,High
2026-03-25 09:00:00,16592.673776447777,High
2026-03-25 10:00:00,16245.000717639925,High
2026-03-25 11:00:00,16026.116499781609,High
2026-03-25 12:00:00,16109.332515716553,High
2026-03-25 13:00:00,16359.728288829328,High
2026-03-25 14:00:00,16595.230065345768,High
2026-03-25 15:00:00,16436.184041976932,High
2026-03-25 16:00:00,16004.293678045273,High
2026-03-25 17:00:00,15743.593510627747,Medium
2026-03-25 18:00:00,15771.82650411129,Medium
2026-03-25 19:00:00,15985.274946272373,Medium
2026-03-25 20:00:00,15972.398415327072,Medium
2026-03-25 21:00:00,15143.307915687561,Medium
2026-03-25 22:00:00,14415.986336171627,Medium
2026-03-25 23:00:00,14631.471933603287,Medium
2026-03-26 00:00:00,15030.666483700275,Medium
